DATE,DJIA
5/14/2021,34382.13
5/21/2021,34207.84
5/28/2021,34529.45
6/4/2021,34756.39
6/11/2021,34479.6
6/18/2021,33290.08
6/25/2021,34433.84
7/2/2021,34786.35
7/9/2021,34870.16
7/16/2021,34687.85
7/23/2021,35061.55
7/30/2021,34935.47
8/6/2021,35208.51
8/13/2021,35515.38
8/20/2021,35120.08
8/27/2021,35455.8
9/3/2021,35369.09
9/10/2021,34607.72
9/17/2021,34584.88
9/24/2021,34798
10/1/2021,34326.46
10/8/2021,34746.25
10/15/2021,35294.76
10/22/2021,35677.02
